id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity_kmph,astronomical,miss_distance_km,miss_distance_lunar,orbiting_body
54278142,54278142,(2022 JM),28.8,0.0046190746,0.0103285648,False,2024-01-03,15135.7875736874,0.1665503321,24915574.929952625,64.7880791869,Earth
54339170,54339170,(2023 AE2),25.09,0.0255008688,0.0570216761,False,2024-01-03,40627.9359558418,0.4160098355,62234185.289850384,161.8278260095,Earth
54382904,54382904,(2023 RM9),22.63,0.0791689667,0.1770271912,False,2024-01-03,46687.637003535,0.4276145672,63970228.434091866,166.3420666408,Earth
54407115,54407115,(2023 WQ1),21.7,0.1214940408,0.2716689341,False,2024-01-03,21316.3863185218,0.2215539291,33143995.883491017,86.1844784199,Earth
54415862,54415862,(2023 XN7),21.91,0.1102947845,0.2466266358,False,2024-01-03,50245.145075255,0.2425550851,36285724.08862874,94.3539281039,Earth
54419016,54419016,(2024 AS),25.21,0.0241298697,0.0539560289,False,2024-01-03,26620.9107473446,0.0621231269,9293487.461979702,24.1658963641,Earth
54419705,54419705,(2024 AA3),25.76,0.0187307418,0.0418832119,False,2024-01-03,38651.4528346904,0.0348077157,5207160.128285559,13.5402014073,Earth
54419812,54419812,(2024 AH3),25.67,0.0195233786,0.0436556017,False,2024-01-03,35581.2855133506,0.0179963637,2692217.677265319,7.0005854793,Earth
54419817,54419817,(2024 AM3),26.6,0.0127219879,0.0284472297,False,2024-01-03,34700.8767701078,0.0179149084,2680032.137885108,6.9688993676,Earth
54425076,54425076,(2024 BB8),21.37,0.1414343753,0.3162568776,False,2024-01-03,43666.3832834038,0.4646252744,69506951.39840552,180.7392317416,Earth
2668499,2668499,668499 (2012 AB11),22.32,0.0913177026,0.2041925905,False,2024-01-03,66101.008470871,0.2870697328,42945020.56834914,111.6701260592,Earth
2676480,2676480,676480 (2016 GZ215),21.08,0.1616422833,0.3614431336,False,2024-01-03,13412.6295371653,0.316959242,47416427.48001454,123.297145138,Earth
2304640,2304640,304640 (2006 WW1),19.17,0.3895426161,0.8710437698,False,2024-01-06,82917.386474944,0.3042250642,45511421.604933254,118.3435499738,Earth
3102756,3102756,(2002 AO11),23.05,0.065246163,0.1458948557,False,2024-01-06,66352.9893943133,0.4011389088,60009526.330604255,156.0430355232,Earth
3623521,3623521,(2013 AK20),23.19,0.0611723235,0.1367854737,False,2024-01-06,33449.0167383958,0.2658726974,39773989.22219454,103.4244792886,Earth
3630638,3630638,(2013 EU9),21.66,0.1237527837,0.2767196367,False,2024-01-06,23244.7020210603,0.4595500589,68747709.96981454,178.7649729121,Earth
3752775,3752775,(2016 JX5),26.9,0.0110803882,0.0247765013,False,2024-01-06,47409.8201474422,0.219641036,32857831.15019332,85.440363004,Earth
3780672,3780672,(2017 PM26),21.28,0.1474195145,0.3296400556,False,2024-01-06,67006.5424308666,0.2157438397,32274818.88474144,83.9243536433,Earth
3794988,3794988,(2017 YZ1),20.43,0.2180494405,0.4875733714,True,2024-01-06,44018.2595059564,0.4823054753,72151871.79421762,187.6168298917,Earth
54131589,54131589,(2021 EU4),24.66,0.0310852938,0.0695088301,False,2024-01-06,48806.5481244749,0.2906663653,43483069.129521914,113.0692161017,Earth
54162245,54162245,(2021 MQ1),23.05,0.065246163,0.1458948557,False,2024-01-06,77270.3508057131,0.1358979668,20330046.370610718,52.8643090852,Earth
2585310,2585310,585310 (2017 YZ1),20.41,0.2200670271,0.4920848322,True,2024-01-06,44018.2553543482,0.4823053713,72151856.23603913,187.6167894357,Earth
2591179,2591179,591179 (2013 EU9),21.66,0.1237527837,0.2767196367,False,2024-01-06,23244.7048088382,0.4595501104,68747717.67410485,178.7649929456,Earth
54212682,54212682,(2021 UO1),28.03,0.0065849878,0.0147244804,False,2024-01-06,48600.390963496,0.4175439216,62463681.30280699,162.4245855024,Earth
54373932,54373932,(2023 MB3),30.0,0.002658,0.0059434687,False,2024-01-06,46861.3592628214,0.3657282297,54712164.16199074,142.2682813533,Earth
54397463,54397463,(2023 UE4),21.68,0.1226182113,0.2741826558,False,2024-01-06,30474.7461624521,0.2020846207,30231428.81647791,78.6109174523,Earth
54418498,54418498,(2024 AC),25.5,0.0211132445,0.0472106499,False,2024-01-06,24436.4638807862,0.0154698996,2314264.029273852,6.0177909444,Earth
54418648,54418648,(2023 YX1),24.86,0.0283501249,0.0633928065,False,2024-01-06,51523.5339034366,0.0259173986,3877187.626500982,10.0818680554,Earth
54419186,54419186,(2024 AH1),25.84,0.0180532326,0.0403682552,False,2024-01-06,34732.8834290542,0.0230037015,3441304.746515805,8.9484398835,Earth
54420155,54420155,(2024 AV3),25.78,0.0185590173,0.0414992243,False,2024-01-06,49762.1209539445,0.031246689,4674438.11895243,12.154962021,Earth
54421084,54421084,(2024 BR),21.67,0.1231841913,0.2754482254,False,2024-01-06,68918.5793084036,0.203790755,30486662.87369185,79.274603695,Earth
3387092,3387092,(2007 SG11),22.68,0.077366861,0.1729975604,False,2024-01-05,21130.5453762448,0.279217138,41770289.11229606,108.615466682,Earth
3655366,3655366,(2013 YD),23.6,0.0506471459,0.1132504611,False,2024-01-05,95388.94889847,0.4134715606,61854464.77133592,160.8404370734,Earth
3759280,3759280,(2016 RW19),20.97,0.1700415193,0.3802243961,False,2024-01-05,55636.6868556782,0.3310608323,49525995.352507204,128.7826637647,Earth
3795150,3795150,(2017 YA8),22.33,0.0908981358,0.2032544107,False,2024-01-05,74295.3517022466,0.47281464,70732063.0488168,183.92489496,Earth
3989198,3989198,(2020 BT8),22.66,0.0780827277,0.1745982871,False,2024-01-05,32809.7259574529,0.4020460517,60145232.97622988,156.3959141113,Earth
54016989,54016989,(2020 JB1),26.4,0.0139493823,0.0311917671,False,2024-01-05,29836.407506762,0.195163435,29196034.17788345,75.918576215,Earth
54191244,54191244,(2021 QC3),24.24,0.0377185489,0.0843412394,False,2024-01-05,65428.143420128,0.4792718313,71698045.11347933,186.4367423757,Earth
54360724,54360724,(2023 KF5),26.45,0.0136318556,0.0304817558,False,2024-01-05,51299.9383417686,0.3682368165,55087443.40398086,143.2441216185,Earth
54376461,54376461,(2023 OG5),24.2,0.0384197891,0.0859092601,False,2024-01-05,55324.8986595102,0.4815497794,72038821.29720987,187.3228641866,Earth
54406858,54406858,(2023 WX),21.41,0.138852907,0.310484539,False,2024-01-05,59465.664578394,0.3384902592,50637421.7920679,131.6727108288,Earth
54417658,54417658,(2023 YX),23.34,0.057089334,0.1276556316,False,2024-01-05,24550.9579392311,0.1761707793,26354773.33952009,68.5304331477,Earth
